E14-A,231681.213,210.83212,6714241.824,,
B11-A,231672.2262,206.234623,6714238.029,,
point 114,231685.7065,212.221659,6714240.116,,
E11-A,231683.5036,211.04721,6714239.013,,
point 118,231688.5459,213.467671,6714239.297,,
F11-A,231686.5352,212.340192,6714238.479,,
point 120,231686.6776,213.671144,6714242.755,,
H12-A,231690.2234,215.117662,6714240.23,,
point 122,231684.7732,212.149695,6714241.7,,
point 123,231683.2659,212.088552,6714243.093,,
point 124,231685.503,213.509354,6714244.242,,
E16-A,231679.0141,210.54259,6714244.624,,
point 126,231678.0601,210.747606,6714250.58,,
C12-A,231675.5651,207.450293,6714239.525,,
CR34,231691.5276,216.738228,6714241.747,,
H13-A,231689.0379,215.778448,6714241.851,,
H6-A,231695.8901,214.764181,6714229.603,,
H4-A,231696.8336,214.732571,6714227.839,,
H4-A,231697.8596,214.801038,6714226.18,,
H3-A,231698.7913,214.726666,6714224.545,,
H2-A,231699.9101,214.510477,6714222.845,,
A8,231665.3476,204.930396,6714260.847,,
A6,231665.3135,204.89857,6714259.26,,
A5,231665.343,204.730319,6714257.758,,
A4,231665.4351,205.024027,6714256.344,,
A3,231665.9325,204.782515,6714254.834,,
A2,231665.4436,204.771744,6714252.945,,
A1,231666.018,204.745627,6714250.349,,
B12-A,231670.5973,207.249092,6714239.103,,
B17-A,231668.0411,205.506821,6714248.012,,
B16-A,231668.917,205.437759,6714246.079,,
B13-A,231670.7192,206.440575,6714240.696,,
B15-A,231669.8339,205.802088,6714244.213,,
C13-A,231674.6684,207.38913,6714240.862,,
D14-A,231676.6781,209.419181,6714243.672,,
D13-A,231677.9391,209.456735,6714242.197,,
point 159,231680.752,211.696019,6714245.767,,
point 160,231679.7775,211.879521,6714247.182,,
point 161,231681.9743,213.883164,6714248.087,,
point 162,231683.9532,213.856577,6714245.678,,
B14-A,231670.5165,206.00552,6714242.351,,
C14-A,231673.5285,207.76198,6714241.876,,
C15-A,231673.0943,207.440249,6714243.583,,
D15-A,231675.7885,209.362233,6714245.174,,
E17-A,231678.1156,210.579022,6714246.36,,
E19-A,231675.605,210.548511,6714249.299,,
point 169,231678.5371,211.870368,6714248.707,,
point 170,231680.2396,213.39188,6714249.758,,
C16-A,231672.0272,207.627836,6714245.129,,
C17-A,231671.4138,207.283712,6714246.745,,
D16-A,231675.2778,208.89224,6714246.724,,
D17-A,231674.0239,209.262949,6714248.198,,
C18-A,231670.2632,207.432024,6714248.555,,
B5,231668.5933,206.665669,6714258.08,,
E20-A,231675.1371,209.818495,6714251.415,,
D18-A,231673.073,208.918533,6714249.945,,
B2,231671.6347,204.16074,6714252.578,,
B6,231668.45,206.544269,6714259.419,,
D19-A,231671.7674,209.004274,6714251.987,,
E21-A,231673.4544,210.028582,6714252.743,,
B3,231668.8314,206.669049,6714254.972,,
B4,231668.9533,206.51526,6714256.583,,
point 201,231675.3733,211.711009,6714251.728,,
E22-A,231673.066,209.796275,6714254.056,,
point 203,231682.8465,215.218121,6714249.442,,
point 204,231680.666,214.818891,6714252.365,,
point 205,231679.7568,215.717247,6714253.322,,
point 206,231679.0103,215.619717,6714255.202,,
point 207,231678.8857,216.384123,6714256.025,,
point 208,231678.7911,217.75178,6714257.319,,
point 209,231678.7599,218.360132,6714258.402,,
point 210,231678.7016,218.624699,6714259.33,,
point 211,231678.6411,218.548898,6714260.066,,
point 212,231678.5886,218.44774,6714260.512,,
H17-A,231684.0991,215.474465,6714248.187,,
point 214,231679.0558,213.177004,6714251.508,,
point 215,231678.7202,212.755817,6714252.621,,
point 216,231678.1141,214.075745,6714254.115,,
point 217,231677.7964,214.868478,6714254.839,,
point 218,231677.6153,215.683324,6714256.038,,
point 219,231677.5952,216.53779,6714257.357,,
point 220,231677.2023,214.744732,6714258.406,,
point 221,231677.3838,215.098299,6714259.464,,
point 222,231677.3472,215.055277,6714260.197,,
point 223,231677.4452,217.67357,6714260.868,,
J6A,231706.6722,217.466426,6714230.789,,
K6A,231708.8096,218.987252,6714231.844,,
K8A,231707.3439,218.662212,6714234.561,,
J8A,231705.1614,217.880156,6714233.526,,
J9A,231704.4209,217.998893,6714234.973,,
J10A,231703.9836,217.208905,6714236.081,,
K10A,231705.8765,219.303969,6714237.505,,
K11A,231704.8319,219.132455,6714238.357,,
J11A,231703.2519,217.686306,6714237.293,,
J12A,231702.6011,217.147878,6714238.618,,
K12A,231704.1413,219.191171,6714239.659,,
K13A,231703.6542,219.179237,6714240.841,,
L10A,231708.0257,221.018028,6714238.154,,
L12A,231706.2971,221.322686,6714240.894,,
K14A,231702.9718,219.216268,6714242.343,,
K15A,231702.1471,219.106623,6714243.696,,
L15A,231703.9304,220.71412,6714244.889,,
L16A,231703.4262,221.063844,6714246.244,,
K17A,231700.5918,219.917505,6714246.336,,
M17A,231704.1553,222.489854,6714250.175,,
