DHP1,230449.46,217.15,6716487.48,
DHP2,230445.48,216.43,6716484.27,
DHP3,230441.39,215.45,6716481.46,
DHP4,230437.22,214.43,6716478.36,
DHP5,230428.76,212.65,6716473.13,
DHP6,230424.36,211.78,6716470.70,
DHP7,230420.11,211.12,6716467.82,
DHP8,230415.91,210.14,6716465.31,
DHP9,230411.71,209.78,6716462.77,
DHP10,230407.02,209.42,6716459.97,
DHP11,230405.63,209.47,6716458.06,
DHP12,230404.27,209.26,6716455.98,
ARR1,230444.37,217.18,6716481.72,
ARR2,230414.06,211.37,6716462.19,
JA1,230452.81,219.81,6716488.38,
JA2,230451.54,219.48,6716487.25,
JA3,230450.02,219.11,6716485.86,
JA4,230448.74,218.76,6716484.82,
JA5,230447.40,218.54,6716484.00,
JA6,230446.05,218.25,6716482.96,
JA7,230444.58,218.02,6716482.11,
JA8,230443.42,217.67,6716481.23,
JA9,230442.16,217.39,6716480.07,
JA10,230440.71,217.08,6716479.20,
JA11,230439.33,216.78,6716478.32,
JA12,230437.92,216.29,6716477.56,
JA13,230436.26,215.80,6716476.67,
JA14,230435.02,215.69,6716475.75,
JA15,230433.49,215.40,6716474.60,
JA16,230432.04,215.12,6716473.59,
JA17,230430.51,214.82,6716472.62,
JA18,230429.12,214.58,6716471.90,
JA19,230427.69,214.36,6716470.78,
JA20,230426.19,214.03,6716470.03,
JA21,230424.87,213.67,6716469.10,
JA22,230423.26,213.51,6716468.06,
JA23,230421.78,213.18,6716467.10,
JA24,230420.38,212.75,6716466.33,
JA25,230419.13,212.46,6716465.20,
JA26,230417.73,212.27,6716464.31,
JA27,230416.30,212.13,6716463.39,
JA28,230414.81,211.90,6716462.48,
JA29,230413.27,211.84,6716461.66,
JA30,230411.92,211.61,6716460.89,
JA31,230410.15,211.26,6716460.03,
JA32,230408.25,211.07,6716459.24,
JA33,230407.28,210.76,6716458.07,
JA34,230406.24,210.74,6716456.81,
JA35,230405.31,210.66,6716455.36,
JB1,230453.72,220.24,6716489.67,
JB2,230451.38,217.70,6716488.86,
JB3,230449.92,217.35,6716487.92,
JB4,230448.66,217.16,6716486.99,
JB5,230447.44,216.79,6716485.85,
JB6,230446.15,216.54,6716484.83,
JB7,230444.88,216.39,6716484.03,
JB8,230443.48,216.11,6716482.94,
JB9,230441.89,215.61,6716481.96,
JB10,230440.59,215.37,6716480.94,
JB11,230439.34,215.03,6716479.85,
JB12,230438.05,214.54,6716478.80,
JB13,230436.68,214.44,6716478.15,
JB14,230435.02,214.12,6716477.23,
JB15,230433.55,213.68,6716476.49,
JB16,230432.34,213.51,6716475.59,
JB17,230430.83,213.23,6716474.54,
JB18,230429.55,212.90,6716473.66,
JB19,230428.10,212.83,6716472.83,
JB20,230426.72,212.42,6716472.00,
JB21,230425.29,212.19,6716471.11,
JB22,230423.76,211.96,6716470.27,
JB23,230422.30,211.71,6716469.44,
JB24,230420.87,211.34,6716468.56,
JB25,230419.69,211.22,6716467.53,
JB26,230418.19,210.75,6716466.49,
JB27,230416.65,210.42,6716465.99,
JB28,230415.27,210.31,6716464.95,
JB29,230413.80,210.14,6716464.31,
JB30,230412.46,209.93,6716463.55,
JB31,230410.34,209.65,6716461.97,
JB32,230408.87,209.51,6716461.12,
JB33,230407.43,209.44,6716460.28,
JB34,230406.14,208.98,6716459.72,
JB35,230405.68,209.17,6716458.78,
JB36,230404.68,208.87,6716457.82,
JB37,230404.29,209.02,6716456.63,
DHP13,230421.15,213.46,6716450.22,
DHP14,230419.37,213.18,6716447.96,
DHP15,230412.67,211.14,6716442.00,
DHP16,230410.16,211.29,6716440.20,
DHP17,230407.79,211.33,6716438.97,
AH1,230412.16,210.97,6716441.94,
AH2,230410.83,210.88,6716441.01,
AH3,230409.53,210.86,6716440.19,
AH4,230408.21,210.84,6716439.68,
AH5,230407.30,210.79,6716439.13,
AH6,230405.82,210.57,6716438.65,
AG1,230427.34,214.66,6716455.22,
AG2,230426.04,214.50,6716454.21,
AG3,230424.83,214.21,6716453.51,
AG4,230423.79,213.92,6716452.58,
AG5,230422.47,213.49,6716451.76,
AG6,230421.46,213.37,6716450.78,
AG7,230420.41,213.22,6716449.52,
AG8,230419.59,213.19,6716448.41,
AG9,230418.74,212.99,6716447.13,
AG10,230417.70,212.87,6716446.07,
AG11,230416.86,212.75,6716445.08,
AG12,230415.69,212.64,6716444.14,
AG13,230414.68,212.51,6716443.12,
AG14,230413.58,212.47,6716442.23,
AG15,230412.38,212.37,6716441.37,
AG16,230411.34,212.31,6716440.22,
AG17,230410.37,212.29,6716439.27,
AG18,230409.09,212.21,6716438.54,
AG19,230407.88,212.20,6716438.06,
AG20,230406.36,212.12,6716437.92,
AF1,230438.30,216.38,6716462.07,
AF2,230437.16,216.34,6716461.33,
AF3,230435.63,216.35,6716460.19,
AF4,230434.16,216.26,6716459.60,
AF5,230432.73,216.45,6716458.71,
AF6,230431.42,216.34,6716457.78,
AF7,230430.31,216.17,6716456.76,
AF8,230429.51,216.16,6716455.44,
AF9,230428.39,216.14,6716454.36,
AF10,230427.32,215.98,6716453.40,
AF11,230426.22,215.86,6716452.31,
AF12,230425.17,215.77,6716451.22,
AF13,230423.60,215.25,6716450.78,
AF14,230422.37,214.83,6716450.00,
AF15,230421.25,214.64,6716449.08,
AF16,230420.18,214.54,6716447.92,
AF17,230419.48,214.44,6716446.97,
AF18,230418.65,214.20,6716445.87,
AF19,230417.72,214.17,6716444.63,
AF20,230416.77,214.15,6716443.76,
AF21,230415.55,214.12,6716442.64,
AF22,230414.29,214.04,6716441.78,
AF23,230413.05,214.01,6716440.92,
AF24,230412.19,213.93,6716439.72,
AF25,230411.06,213.88,6716438.57,
AF26,230409.75,213.72,6716437.71,
AF27,230408.41,213.70,6716436.98,
AF28,230406.90,213.61,6716436.81,
AE1,230449.89,218.44,6716468.71,
AE2,230448.84,218.41,6716467.94,
AE3,230447.25,218.15,6716467.38,
AE4,230446.11,217.78,6716466.55,
AE5,230444.81,217.67,6716465.77,
AE6,230443.44,217.40,6716465.00,
AE7,230442.52,217.35,6716464.20,
AE8,230441.19,217.23,6716462.89,
AE9,230439.84,217.46,6716462.40,
AE10,230438.40,217.44,6716461.18,
AE11,230436.92,217.49,6716460.49,
AE12,230435.78,217.75,6716459.76,
AE13,230435.13,217.51,6716458.78,
AE14,230434.05,217.71,6716457.56,
AE15,230432.41,217.61,6716456.30,
AE16,230431.47,217.54,6716455.24,
AE17,230430.72,217.60,6716454.02,
AE18,230429.50,217.47,6716453.08,
AE19,230428.48,217.43,6716451.99,
AE20,230427.30,217.39,6716450.71,
AE21,230426.25,217.34,6716450.05,
AE22,230424.73,216.95,6716449.35,
AE23,230423.30,216.51,6716448.78,
AE24,230422.08,216.09,6716447.82,
AE25,230420.84,216.05,6716446.67,
AE26,230420.01,215.84,6716445.74,
AE27,230418.96,215.84,6716444.73,
AE28,230417.99,215.65,6716443.76,
AE29,230416.88,215.59,6716442.63,
AE30,230416.16,215.47,6716441.57,
AE31,230415.11,215.32,6716440.53,
AE32,230414.00,215.41,6716439.57,
AE33,230412.85,215.43,6716438.62,
AE34,230411.54,215.31,6716437.86,
AE35,230410.23,215.21,6716437.07,
AE36,230408.73,215.20,6716436.30,
AE37,230407.31,215.05,6716435.96,
DHP18,230448.41,218.95,6716467.07,
DHP19,230432.62,217.28,6716457.49,
AD1,230458.58,221.23,6716472.67,
AD2,230457.26,220.96,6716471.91,
AD3,230455.79,220.65,6716470.98,
AD4,230454.15,220.35,6716470.16,
AD5,230452.91,220.22,6716469.28,
AD6,230451.53,219.96,6716468.63,
AD7,230450.20,219.95,6716467.98,
AD8,230449.22,219.75,6716467.13,
AD9,230447.92,219.10,6716466.49,
AD10,230446.83,219.06,6716465.65,
AD11,230445.63,218.42,6716464.91,
AD12,230444.04,219.15,6716463.97,
AD13,230442.81,219.12,6716463.36,
AD14,230441.67,219.19,6716462.33,
