point 1,232753.688,362.368964,6716528.06,
point 2,232751.6831,363.408826,6716527.621,
point 3,232749.7144,363.48705,6716527.727,
point 4,232751.91,362.221818,6716528.513,
point 5,232749.9093,362.275518,6716528.944,
point 6,232748.4193,362.267655,6716529.195,
point 7,232747.9144,363.414165,6716528.048,
point 8,232746.4786,361.975375,6716530.033,
point 9,232744.3518,363.1901,6716528.78,
point 10,232744.7702,361.780481,6716530.471,
point 11,232742.4756,363.044855,6716529.108,
point 12,232742.9463,361.712258,6716530.811,
point 13,232740.994,361.618139,6716531.24,
point 14,232740.5526,363.092399,6716529.564,
point 15,232739.0334,363.044035,6716529.833,
point 16,232665.2882,360.72459,6716531.524,
point 17,232657.8988,359.937786,6716531.77,
point 18,232656.124,358.866168,6716532.697,
point 19,232653.0215,358.87761,6716532.877,
point 20,232651.2459,359.30929,6716532.645,
point 21,232653.0329,357.279968,6716534.022,
point 22,232651.3674,357.161351,6716533.936,
point 23,232649.8007,356.729521,6716533.607,
point 24,232649.6337,353.496384,6716535.269,
point 25,232651.2878,354.564094,6716535.606,
point 26,232653.0638,354.656855,6716535.401,
point 27,232654.7834,354.884791,6716535.473,
point 28,232654.6616,356.391966,6716534.185,
point 29,232656.5988,354.91722,6716535.316,
point 30,232657.5098,353.302261,6716536.357,
point 31,232655.8125,353.526527,6716536.751,
point 32,232654.0421,353.250889,6716536.61,
point 33,232652.8276,360.246959,6716531.286,
point 34,232655.9301,360.510148,6716530.639,
point 35,232654.6015,361.142438,6716530.774,
point 36,232661.8405,355.370643,6716535.502,
point 37,232671.9714,359.521926,6716532.845,
point 38,232673.5737,359.611774,6716532.946,
point 39,232673.5332,361.329043,6716531.101,
point 40,232670.3024,361.119798,6716531.868,
point 41,232668.3137,360.839487,6716531.574,
point 42,232667.185,359.596741,6716532.989,
point 43,232665.2427,358.607729,6716533.382,
point 44,232667.4256,356.645899,6716534.202,
point 45,232673.4686,363.617647,6716529.586,
point 46,232676.1423,364.077637,6716529.858,
point 47,232683.2061,364.149426,6716530.467,
point 48,232688.007,364.815188,6716529.79,
point 49,232686.2828,364.783539,6716529.793,
point 50,232684.8778,364.190931,6716530.308,
point 51,232691.8193,366.247446,6716528.115,
point 52,232692.0639,364.860064,6716530.139,
point 53,232693.9945,365.496602,6716529.856,
point 54,232693.7145,366.842133,6716527.767,
point 55,232690.201,365.987559,6716528.45,
point 56,232687.8908,365.944697,6716528.593,
point 57,232686.2564,365.818939,6716528.451,
point 58,232695.7057,365.265118,6716529.595,
point 59,232695.5262,363.176039,6716530.866,
point 60,232693.9489,363.797119,6716530.964,
point 61,232693.8659,360.936361,6716532.807,
point 62,232692.1266,360.874193,6716532.819,
point 63,232692.2165,362.600601,6716531.589,
point 64,232697.4391,363.289627,6716530.825,
point 65,232698.9203,363.532981,6716530.727,
point 66,232697.238,365.124198,6716529.374,
point 67,232700.5411,366.881181,6716527.454,
point 68,232701.8327,366.839246,6716527.639,
point 69,232703.5006,367.035675,6716527.996,
point 70,232700.7395,363.692799,6716530.691,
point 71,232701.8754,363.339319,6716530.31,
point 72,232703.5786,363.234881,6716530.532,
point 73,232703.7327,361.090909,6716532.2,
point 74,232708.4134,365.486395,6716529.566,
point 75,232708.6135,364.194885,6716530.706,
point 76,232710.5414,364.305298,6716530.762,
point 77,232707.021,364.144592,6716530.803,
point 78,232705.4992,363.967892,6716530.898,
point 79,232707.1149,361.445066,6716532.467,
point 80,232712.2317,362.953674,6716531.991,
point 81,232713.8262,361.772,6716532.209,
point 82,232713.8325,364.47579,6716530.905,
point 83,232708.9393,360.833984,6716533.487,
point 84,232697.4198,359.909571,6716533.615,
point 85,232705.6485,362.460681,6716532.624,
point 86,232706.3936,361.020478,6716533.357,
point 87,232707.3045,361.071333,6716533.461,
point 88,232708.8372,362.653746,6716532.486,
point 89,232716.0308,359.784293,6716534.668,
point 90,232718.0317,358.362973,6716535.907,
point 91,232721.1008,360.260288,6716534.156,
point 92,232723.0417,360.351385,6716534.264,
point 93,232724.7422,360.629464,6716534.414,
point 94,232726.4877,360.720121,6716534.348,
point 95,232719.0142,361.433281,6716532.115,
point 96,232717.3249,361.084345,6716532.124,
point 97,232717.1024,363.301024,6716531.192,
point 98,232720.8009,361.466516,6716532.643,
point 99,232719.1008,361.17496,6716532.858,
point 100,232728.1068,360.711915,6716533.455,
point 101,232729.6619,360.428062,6716533.522,
point 102,232731.57,360.337116,6716533.293,
point 103,232731.9944,359.015338,6716534.577,
point 104,232734.372,361.165985,6716531.707,
point 105,232735.2294,359.099854,6716533.433,
point 107,232735.4492,357.121673,6716534.851,
point 108,232733.9323,355.945282,6716535.928,
point 109,232706.1709,358.959778,6716536.728,
point 110,232707.693,359.05423,6716536.91,
point 111,232697.3995,358.846649,6716535.858,
point 112,232693.672,358.651122,6716535.676,
point 113,232652.489,364.359417,6716526.279,
point 114,232688.3491,359.617434,6716534.5,
point 115,232699.4699,355.713924,6716537.582,
point 116,232699.2724,353.888013,6716538.223,
point 117,232695.9752,355.607286,6716537.377,
point 118,232710.9643,359.652008,6716535.879,
point 119,232709.3857,359.238678,6716536.717,
point 120,232716.2911,356.298081,6716536.11,
point 121,232721.3516,357.530495,6716535.83,
point 122,232741.7431,359.122807,6716532.521,
point 124,232729.1857,362.453981,6716531.333,
point 125,232730.9598,362.579489,6716530.866,
point 126,232732.5899,362.832959,6716530.363,
point 127,232732.4341,363.823429,6716529.351,
point 128,232730.8138,363.737787,6716529.66,
point 129,232727.482,363.525636,6716530.408,
point 130,232729.109,363.643715,6716530.022,
point 131,232725.5042,363.812738,6716530.481,
point 132,232725.7967,362.525944,6716531.806,
point 133,232724.2669,362.443752,6716532.383,
point 134,232724.0253,363.609197,6716531.073,
point 135,232722.6152,362.40142,6716532.668,
point 136,232720.7435,363.679398,6716532.005,
point 137,232715.3914,365.272627,6716530.922,
point 138,232716.9794,365.127489,6716531.156,
point 139,232710.3652,366.251629,6716529.766,
point 140,232712.0137,366.470076,6716529.766,
point 141,232713.6744,366.624402,6716530.021,
point 142,232706.6098,365.978831,6716529.572,
point 143,232720.0613,358.277698,6716535.772,
point 144,232723.4745,358.666609,6716536.17,
point 145,232725.0965,358.790513,6716536.135,
point 146,232716.5201,356.470551,6716536.945,
point 147,232718.3456,356.602581,6716536.636,
point 148,232720.1049,356.54937,6716536.355,
point 149,232721.8708,356.813502,6716536.282,
point 150,232723.5247,356.974557,6716536.454,
point 151,232726.9069,357.215102,6716536.384,
point 152,232726.8861,359.049039,6716536.03,
point 153,232728.6302,359.019429,6716535.229,
point 154,232730.3139,359.21673,6716535.034,
point 155,232730.4039,357.279112,6716535.823,
point 156,232728.7461,357.217431,6716535.81,
point 157,232732.0656,357.479485,6716535.403,
point 158,232733.797,357.505244,6716535.236,
point 159,232737.2854,357.682911,6716534.869,
point 160,232736.9465,359.410222,6716534.064,
point 161,232738.6476,359.267085,6716533.907,
point 162,232739.9858,359.549866,6716533.227,
point 163,232739.027,357.522306,6716534.519,
point 164,232740.6638,357.698546,6716534.015,
point 165,232742.3605,357.88994,6716533.381,
point 166,232744.0328,357.89692,6716533.008,
point 167,232752.6574,360.34641,6716530.516,
point 168,232750.8293,360.086565,6716530.927,
